"種類","価格情報区分","市区町村コード","都道府県名","市区町村名","地区名","最寄駅：名称","最寄駅：距離（分）","取引価格（総額）","間取り","面積（㎡）","建築年","建物の構造","用途","今後の利用目的","都市計画","建ぺい率（％）","容積率（％）","取引時期","改装","取引の事情等"
"中古マンション等","成約価格情報","13101","東京都","千代田区","岩本町","神田(東京)",7,19000000,"１Ｋ",25,"2004年","ＳＲＣ","","","商業","","","2021年第3四半期","",""
"中古マンション等","成約価格情報","13101","東京都","千代田区","岩本町","秋葉原",7,19000000,"１Ｒ",25,"1985年","ＲＣ","","","商業","","","2021年第3四半期","",""
"中古マンション等","成約価格情報","13101","東京都","千代田区","岩本町","岩本町",4,42000000,"１ＤＫ",35,"2018年","ＲＣ","","","商業","","","2021年第3四半期","",""
"中古マンション等","成約価格情報","13101","東京都","千代田区","岩本町","秋葉原",3,25000000,"１Ｋ",30,"2002年","ＲＣ","","","商業","","","2021年第3四半期","",""
"中古マンション等","成約価格情報","13101","東京都","千代田区","岩本町","小伝馬町",2,45000000,"１ＬＤＫ",35,"2013年","ＲＣ","","","商業","","","2021年第3四半期","",""
"中古マンション等","成約価格情報","13101","東京都","千代田区","岩本町","神田(東京)",8,26000000,"１Ｋ",30,"2006年","ＲＣ","","","商業","","","2021年第3四半期","",""
"中古マンション等","成約価格情報","13101","東京都","千代田区","九段北","九段下",5,62000000,"２ＬＤＫ",60,"1971年","ＳＲＣ","","","","","","2021年第3四半期","",""
"中古マンション等","成約価格情報","13101","東京都","千代田区","九段北","九段下",1,60000000,"１ＬＤＫ",65,"1980年","ＳＲＣ","","","商業","","","2021年第3四半期","",""
"中古マンション等","成約価格情報","13101","東京都","千代田区","平河町","麹町",3,35000000,"１Ｒ",40,"1978年","ＲＣ","","","商業","","","2021年第3四半期","",""
"中古マンション等","成約価格情報","13101","東京都","千代田区","平河町","麹町",3,61000000,"２ＬＤＫ",65,"1978年","ＲＣ","","","商業","","","2021年第3四半期","",""
"中古マンション等","成約価格情報","13101","東京都","千代田区","富士見","飯田橋",4,140000000,"３ＬＤＫ",75,"2014年","ＲＣ","","","１種住居","","","2021年第3四半期","",""
"中古マンション等","成約価格情報","13101","東京都","千代田区","富士見","飯田橋",4,200000000,"１ＬＤＫ",100,"2014年","ＲＣ","","","１種住居","","","2021年第3四半期","",""
"中古マンション等","成約価格情報","13101","東京都","千代田区","富士見","飯田橋",3,140000000,"１ＬＤＫ",55,"2014年","ＲＣ","","","商業","","","2021年第3四半期","",""
"中古マンション等","成約価格情報","13101","東京都","千代田区","四番町","市ケ谷",3,70000000,"１ＬＤＫ",45,"2018年","ＲＣ","","","１種住居","","","2021年第3四半期","",""
